label,rows,queries,topk,graph_degree,intermediate_graph_degree,seed_degree,candidate_strategy,insert_mode,replace_policy,sample_rate,selected_rows,candidate_count,replace_fraction,nnd_iterations,itopk_size,scratch_algo,bf_ms,scratch_build_ms,scratch_search_ms,scratch_recall,load_graph_ms,candidate_ms,seed_ms,nnd_ms,sort_ms,optimize_ms,index_ms,variant_build_ms,variant_search_ms,variant_recall
full10_noopt_append0,10000000,10000,12,64,128,64,none,append,random,1.000000,10000000,0,0.250000,20,64,nn-descent,138.724465,nan,nan,nan,30939.732583,0.010880,1330.911549,0.000000,0.000000,0.000000,226.168231,32496.823243,97.007676,0.097592
full10_noopt_query_one_append2_canditopk2,10000000,10000,12,64,128,66,query-one,append,random,1.000000,10000000,2,0.250000,20,64,nn-descent,138.141260,nan,nan,nan,21071.915184,29973.908169,2601.112691,0.000000,0.000000,0.000000,217.086644,53864.022688,65.731685,0.575333
full10_noopt_query_all_append2_canditopk2,10000000,10000,12,64,128,66,query-all,append,random,1.000000,10000000,2,0.250000,20,64,nn-descent,131.786893,nan,nan,nan,21478.453307,121098.489640,2631.326874,0.000000,0.000000,0.000000,229.583095,145437.852916,66.258890,0.760125
full10_noopt_query_all_append8_canditopk8,10000000,10000,12,64,128,72,query-all,append,random,1.000000,10000000,8,0.250000,20,64,nn-descent,132.098417,nan,nan,nan,20961.411973,180505.268411,5571.976496,0.000000,0.000000,0.000000,222.105603,207260.762483,71.539409,0.883258
sub10m_p2_direct_partition_only,2000000,10000,12,64,128,64,none,append,random,1.000000,2000000,0,0.250000,20,64,nn-descent,3009.026298,nan,nan,nan,5026.301540,0.011960,280.759757,0.000000,362.015798,527.198220,43.380761,6239.668036,96.618835,0.484942
sub10m_p2_direct_query_all_append2_canditopk2,2000000,10000,12,64,128,66,query-all,append,random,1.000000,2000000,2,0.250000,20,64,nn-descent,3020.365942,nan,nan,nan,4935.235466,6645.076554,546.282041,0.000000,338.098421,538.386663,44.811331,13047.890476,62.935785,0.949942
sub10m_p3_direct_query_all_append2_canditopk2,3000000,10000,12,64,128,66,query-all,append,random,1.000000,3000000,2,0.250000,20,64,nn-descent,4562.269027,nan,nan,nan,7026.117133,12794.441841,803.571265,0.000000,492.082160,738.209420,61.835538,21916.257357,63.560350,0.934550
sub10m_p3_direct_query_all_append8_canditopk8,3000000,10000,12,64,128,72,query-all,append,random,1.000000,3000000,8,0.250000,20,64,nn-descent,4548.597407,nan,nan,nan,7071.783631,17308.826555,1705.882818,0.000000,548.705419,765.065620,66.320170,27466.584213,63.144067,0.951658
sub10m_p4_direct_query_all_append8_canditopk8,4000000,10000,12,64,128,72,query-all,append,random,1.000000,4000000,8,0.250000,20,64,nn-descent,6098.833394,nan,nan,nan,9419.740078,30624.290930,2266.113402,0.000000,740.321836,1016.583400,90.678791,44157.728437,63.554270,0.945133
sub10m_p5_direct_query_all_append8_canditopk8,5000000,10000,12,64,128,72,query-all,append,random,1.000000,5000000,8,0.250000,20,64,nn-descent,7760.786487,nan,nan,nan,10746.966336,45877.280478,2812.881887,0.000000,894.865899,1158.051526,98.481888,61588.528014,63.802232,0.938825
